Titre	Auteur	URL	Nom fichier	URL source année fin écriture	Année fin écriture	Nom auteur	Id auteur wikidata	URI œuvre data.bnf	Nb tokens	Nb words	Licence
L'ingénue	Henry Gréville	https://beq.ebooksgratuits.com/vents-epub/Greville_Lingenue.epub	1883_L_ingenue	https://data.bnf.fr/fr/12122534/henry_greville/	1883	Gréville	Q2266038		72698	80553	Domaine public
Le voeu de Nadia	Henry Gréville	https://beq.ebooksgratuits.com/vents-epub/Greville_Le_voeu_de_Nadia.epub	1883_Le_voeu_de_Nadia	https://fr.wikipedia.org/wiki/Henry_Gréville, https://data.bnf.fr/fr/12122534/henry_greville/	1883	Gréville	Q2266038		55043	60812	Domaine public
Louis Breuil, histoire d'un pantouflard	Henry Gréville	https://beq.ebooksgratuits.com/vents-epub/Greville_Louis_Breuil_histoire_dun_pantouflard.epub	1883_Louis_Breuil,_histoire_d_un_pantouflard	https://www.wikimanche.fr/Henry_Gréville, https://fr.wikipedia.org/wiki/Henry_Gréville, https://data.bnf.fr/fr/12122534/henry_greville/	1883	Gréville	Q2266038		46186	50909	Domaine public
Sonia	Henry Gréville	https://beq.ebooksgratuits.com/vents-epub/Greville-Sonia.epub	1883_Sonia	https://data.bnf.fr/fr/12122534/henry_greville/	1883	Gréville	Q2266038		55899	61494	Domaine public
Une trahison	Henry Gréville	https://beq.ebooksgratuits.com/vents-epub/Greville-trahison.epub	1883_Une_trahison	https://data.bnf.fr/fr/12122534/henry_greville/	1883	Gréville	Q2266038		74734	82849	Domaine public
12. La joie de vivre.	Émile Zola	http://beq.ebooksgratuits.com/vents-epub/Zola-12.epub	1884_12_La_joie_de_vivre	https://catalogue.bnf.fr/ark:/12148/cb35691939q	1884	Zola	Q504	http://data.bnf.fr/ark:/12148/cb165473126#about	115269	126909	Domaine public
L’Archipel en feu	Jules Verne	https://beq.ebooksgratuits.com/vents-epub/Verne_Larchipel_en_feu.epub	1884_L_Archipel_en_feu	https://fr.wikisource.org/wiki/Auteur:Jules_Verne	1884	Verne	Q33977		57172	63305	Domaine public
L'épave du Cynthia	Jules Verne	http://beq.ebooksgratuits.com/vents-epub/Verne_Lepave_du_Cynthia.epub	1884_L_epave_du_Cynthia	http://beq.ebooksgratuits.com/vents/verne.htm	1884	Verne	Q33977		68789	76851	Domaine public
L’Étoile du sud	Jules Verne	https://beq.ebooksgratuits.com/vents-epub/Verne_LEtoile_du_Sud.epub	1884_L_Etoile_du_sud	https://fr.wikisource.org/wiki/Auteur:Jules_Verne	1884	Verne	Q33977		69663	77261	Domaine public
Les Ormes	Henry Gréville	https://beq.ebooksgratuits.com/vents-epub/Greville-ormes.epub	1884_Les_Ormes	https://data.bnf.fr/fr/12122534/henry_greville/	1884	Gréville	Q2266038		51570	56857	Domaine public
